index,start_time,end_time,result
1,1.977,4.435,miss
2,9.435,13.16417,miss
3,19.78917,21.64333,hit
4,27.412,30.76833,miss
5,32.831,35.1225,miss
6,40.477,42.72667,miss
7,47.852,50.33083,hit
8,57.227,60.3725,miss
9,71.289,73.60167,miss
10,79.477,82.03917,miss
11,86.164,88.33083,miss
12,96.685,98.78917,miss
13,108.748,111.1225,hit
14,117.06,119.56,miss
15,125.227,127.41417,miss
16,136.539,138.83083,miss
17,148.539,151.1225,hit
18,159.539,162.39333,miss
19,168.373,170.60167,hit
20,172.935,175.53917,miss
21,180.643,183.6225,hit
22,188.727,190.8725,miss
23,196.206,198.64333,miss
24,204.018,206.7475,miss
25,213.227,215.70583,hit
26,222.456,224.60167,miss
27,232.956,234.9975,miss
28,243.581,246.22667,miss
29,253.081,255.06,hit
30,260.393,262.81,miss
31,269.227,272.185,hit
32,280.018,283.31,miss
33,291.26833,293.89333,hit
34,300.268,302.35167,miss
35,306.581,308.935,miss
36,318.518,320.64333,miss
37,329.623,331.8725,hit
38,335.123,337.20583,miss
39,342.727,345.95583,miss
40,351.331,353.89333,miss
41,356.31,358.08083,hit
42,361.206,363.60167,miss
43,371.039,373.51833,miss
44,378.1225,381.85167,hit
45,387.456,389.85167,miss
46,396.623,398.64333,miss
47,405.143,406.91417,miss
48,410.664,412.85167,miss
49,424.039,426.28917,miss
50,432.102,434.78917,miss
51,439.831,442.6225,miss
52,449.227,452.35167,miss
53,458.539,460.7475,miss
54,469.581,472.51833,miss
55,479.539,482.01833,miss
56,483.789,486.33083,hit
57,493.685,495.91417,miss
58,502.227,504.78917,miss
59,509.123,511.64333,miss
60,517.372,520.28917,hit
61,527.685,530.53917,miss
62,536.831,539.4975,miss
63,545.185,547.72667,miss
64,555.956,557.935,miss
65,563.685,566.22667,miss
66,571.122,573.83083,miss
67,581.47667,583.85167,miss
68,588.747,591.435,miss
69,599.622,602.56,miss
70,609.143,611.58083,miss
71,614.227,616.685,miss
72,622.31,624.26833,miss
73,631.331,633.4975,hit
74,635.643,638.31,miss
75,642.039,644.47667,hit
76,648.997,651.06,hit
77,653.414,655.8725,miss
78,661.706,663.56,miss
79,669.227,671.935,miss
80,681.06,682.9975,miss
81,688.06,690.51833,hit
82,693.685,695.81,miss
83,705.456,707.97667,miss
84,717.164,720.14333,hit
85,727.247,729.47667,miss
86,737.56,739.60167,miss
87,743.164,745.935,hit
88,752.31,755.35167,hit
89,761.102,763.60167,miss
90,765.122,767.53917,miss
91,772.268,774.6225,miss
92,783.706,786.185,miss
93,789.997,791.935,miss
94,803.518,805.56,miss
95,814.477,816.72667,hit
96,823.081,825.41417,hit
97,832.185,834.4975,miss
98,842.768,845.10167,hit
99,848.81,852.41417,hit
100,859.477,861.51833,hit
101,866.664,868.78917,miss
102,873.435,875.8725,miss
103,882.289,884.8725,hit
104,891.185,893.53917,miss
105,901.164,903.81,miss
106,908.977,911.31,miss
107,916.685,919.60167,miss
108,926.6225,929.03917,miss
109,931.685,933.41417,miss
110,936.227,938.81,miss
111,948.268,950.95583,miss
112,957.581,960.70583,hit
113,967.706,970.35167,miss
114,974.602,977.10167,miss
115,980.581,983.08083,hit
116,990.352,992.83083,miss
117,998.477,1001.20583,miss
118,1009.102,1011.6225,miss
119,1018.81,1021.2475,miss
120,1023.497,1025.53917,miss
121,1031.018,1033.03917,miss
122,1043.247,1045.2475,hit
123,1047.664,1049.8725,miss
124,1053.164,1055.70583,miss
125,1063.581,1065.89333,miss
126,1069.997,1072.58083,miss
127,1079.352,1082.14333,miss
128,1092.456,1095.4975,hit
129,1101.852,1104.76833,hit
130,1110.497,1113.10167,miss
131,1116.81,1119.83083,hit
132,1125.997,1128.28917,miss
133,1136.893,1139.20583,hit
134,1144.331,1146.16417,miss
135,1153.643,1156.26833,hit
136,1162.685,1165.08083,hit
137,1171.456,1173.685,hit
138,1179.789,1181.95583,miss
139,1186.997,1189.185,hit
140,1193.414,1196.10167,hit
141,1202.852,1205.41417,miss
142,1212.331,1214.28917,miss
143,1218.81,1221.3725,miss
144,1228.227,1230.33083,miss
145,1235.268,1237.6225,miss
146,1240.539,1243.14333,hit
147,1248.435,1250.97667,miss
148,1255.518,1257.76833,miss
149,1263.706,1266.28917,miss
150,1274.185,1276.4975,miss
151,1282.206,1284.91417,hit
152,1289.31,1291.4975,miss
153,1293.456,1296.185,hit
154,1302.664,1305.06,miss
155,1311.664,1314.20583,miss
156,1320.727,1323.41417,hit
157,1332.497,1334.70583,miss
158,1344.893,1347.435,miss
159,1353.747,1356.2475,miss
160,1364.435,1367.4975,hit
161,1373.643,1376.3725,miss
162,1384.497,1387.10167,miss
